node,graph_type,source,inbound_graph_edges,exit_graph_edges,graph_actions,widget_inventory,focus_order,scrolling,text_numeric_edit,glyphs,save_and_failure,controller_runtime,mkb_runtime,reachability
"endscreen_solo","MENU_TYPE_ENDSCREEN_SOLO","port/src/menugraph.c","legacy/scene push to trace","continue:SCENE; retry:SCENE; main_menu:SCENE","continue:ACTION_MENU_ACCEPT:SCENE_EVENT_GAMEPLAY_START; retry:ACTION_MENU_ACCEPT:SCENE_EVENT_GAMEPLAY_START; main_menu:ACTION_MENU_CANCEL:SCENE_EVENT_STAGE_TEARDOWN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"endscreen_mp","MENU_TYPE_ENDSCREEN_MP","port/src/menugraph.c","legacy/scene push to trace","continue:SCENE; disconnect:NETWORK; quit:SCENE","continue:ACTION_MENU_ACCEPT:SCENE_EVENT_STAGE_TEARDOWN; disconnect:ACTION_MENU_CANCEL:""disconnect""; quit:ACTION_MENU_CANCEL:SCENE_EVENT_STAGE_TEARDOWN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"pause_menu","MENU_TYPE_PAUSE_MENU","port/src/menugraph.c","legacy/scene push to trace","resume:POP; end_mission:SCENE","resume:ACTION_MENU_CANCEL; end_mission:ACTION_MENU_ACCEPT:SCENE_EVENT_STAGE_TEARDOWN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_pause","MENU_TYPE_MP_PAUSE","port/src/menugraph.c","mp_advanced.drop_out; mp_advanced.control","resume:POP; disconnect:NETWORK","resume:ACTION_MENU_CANCEL; end_game:ACTION_MENU_ACCEPT:MENU_TYPE_WARNING_MODAL; control_style:ACTION_MENU_ACCEPT:MENU_TYPE_SOLO_OPTIONS; disconnect:ACTION_MENU_ACCEPT:""disconnect""","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"solo_mission_pause","MENU_TYPE_SOLO_MISSION_PAUSE","port/src/menugraph.c","solo_inventory.back; solo_options.back","resume:POP; restart:SCENE","resume:ACTION_MENU_CANCEL; restart:ACTION_MENU_ACCEPT:SCENE_EVENT_GAMEPLAY_START; inventory:ACTION_MENU_ACCEPT:MENU_TYPE_SOLO_INVENTORY; settings:ACTION_MENU_ACCEPT:MENU_TYPE_SOLO_OPTIONS; abort:ACTION_MENU_ACCEPT:MENU_TYPE_WARNING_MODAL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"solo_inventory","MENU_TYPE_SOLO_INVENTORY","port/src/menugraph.c","solo_mission_pause.inventory","contextual return to trace","back:ACTION_MENU_CANCEL:MENU_TYPE_SOLO_MISSION_PAUSE","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"solo_options","MENU_TYPE_SOLO_OPTIONS","port/src/menugraph.c","mp_pause.control_style; solo_mission_pause.settings","close:POP","back:ACTION_MENU_CANCEL:MENU_TYPE_SOLO_MISSION_PAUSE; close:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"social_lobby","MENU_TYPE_SOCIAL_LOBBY","port/src/menugraph.c","legacy/scene push to trace","create_room:NETWORK; disconnect:NETWORK","create_room:ACTION_MENU_ACCEPT:""server""; disconnect:ACTION_MENU_CANCEL:""disconnect""","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"social_shell","MENU_TYPE_SOCIAL_SHELL","port/src/menugraph.c","main_menu.social; main_menu.public_mods","back:POP","back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"network","MENU_TYPE_NETWORK","port/src/menugraph.c","legacy/scene push to trace","host:NETWORK; join:NETWORK; reconnect:NETWORK; disconnect:NETWORK; host_started:POP; back:POP","host:ACTION_MENU_ACCEPT:""server""; join:ACTION_MENU_ACCEPT:""client""; reconnect:ACTION_MENU_ACCEPT:""client_reconnect""; disconnect:ACTION_MENU_ACCEPT:""disconnect""; joining:ACTION_MENU_ACCEPT:MENU_TYPE_NETWORK_JOINING; host_started:ACTION_MENU_ACCEPT; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"agent_select","MENU_TYPE_AGENT_SELECT","port/src/menugraph.c","main_menu.change_agent","load:LOCAL; back:POP","load:ACTION_MENU_ACCEPT:""load_agent""; create:ACTION_MENU_ACCEPT:MENU_TYPE_AGENT_CREATE; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"agent_create","MENU_TYPE_AGENT_CREATE","port/src/menugraph.c","agent_select.create","save:POP; cancel:POP","save:ACTION_MENU_ACCEPT; cancel:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"cheats","MENU_TYPE_CHEATS","port/src/menugraph.c","main_menu.cheats","back:POP; close:POP; redirect:POP; warning_close:POP","unlock_all:ACTION_MENU_ACCEPT:MENU_TYPE_WARNING_MODAL; back:ACTION_MENU_CANCEL; close:ACTION_MENU_CANCEL; redirect:ACTION_MENU_CANCEL; warning_close:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"challenges","MENU_TYPE_CHALLENGES","port/src/menugraph.c","legacy/scene push to trace","back:POP","back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_team_setup","MENU_TYPE_MP_TEAM_SETUP","port/src/menugraph.c","room.team_setup; mp_advanced.teams","done:POP","done:ACTION_MENU_ACCEPT","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_player_config","MENU_TYPE_MP_PLAYER_CONFIG","port/src/menugraph.c","mp_advanced.load_settings; mp_advanced.load_player; mp_advanced.player_name; mp_advanced.player_options; mp_advanced.statistics","close:POP","close:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_setup","MENU_TYPE_MP_SETUP","port/src/menugraph.c","mp_advanced.scenario; mp_advanced.quick_team_scenario; mp_advanced.arena; mp_advanced.weapons; mp_advanced.quick_team_weapons; mp_advanced.limits; mp_advanced.start_game","back:POP","more_options:ACTION_MENU_ACCEPT; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_settings","MENU_TYPE_MP_SETTINGS","port/src/menugraph.c","mp_advanced.handicaps","done:POP; back:POP","done:ACTION_MENU_ACCEPT; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_soundtrack","MENU_TYPE_MP_SOUNDTRACK","port/src/menugraph.c","mp_advanced.soundtrack","back:POP","select_music:ACTION_MENU_ACCEPT:MENU_TYPE_MP_TUNES; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_tunes","MENU_TYPE_MP_TUNES","port/src/menugraph.c","room.select_music; mp_soundtrack.select_music","back:POP","back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_teamnames","MENU_TYPE_MP_TEAMNAMES","port/src/menugraph.c","mp_advanced.team_names","back:POP","back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_advanced","MENU_TYPE_MP_ADVANCED","port/src/menugraph.c","legacy/scene push to trace","back:POP","scenario:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETUP; quick_team_scenario:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETUP; arena:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETUP; weapons:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETUP; quick_team_weapons:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETUP; limits:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETUP; handicaps:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETTINGS; simulants:ACTION_MENU_ACCEPT:MENU_TYPE_MP_BOT_SETUP; teams:ACTION_MENU_ACCEPT:MENU_TYPE_MP_TEAM_SETUP; manage_settings:ACTION_MENU_ACCEPT; load_settings:ACTION_MENU_ACCEPT:MENU_TYPE_MP_PLAYER_CONFIG; start_game:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SETUP; load_player:ACTION_MENU_ACCEPT:MENU_TYPE_MP_PLAYER_CONFIG; player_settings:ACTION_MENU_ACCEPT; drop_out:ACTION_MENU_ACCEPT:MENU_TYPE_MP_PAUSE; soundtrack:ACTION_MENU_ACCEPT:MENU_TYPE_MP_SOUNDTRACK; team_names:ACTION_MENU_ACCEPT:MENU_TYPE_MP_TEAMNAMES; abort_game:ACTION_MENU_ACCEPT; player_name:ACTION_MENU_ACCEPT:MENU_TYPE_MP_PLAYER_CONFIG; character:ACTION_MENU_ACCEPT; control:ACTION_MENU_ACCEPT:MENU_TYPE_MP_PAUSE; player_options:ACTION_MENU_ACCEPT:MENU_TYPE_MP_PLAYER_CONFIG; statistics:ACTION_MENU_ACCEPT:MENU_TYPE_MP_PLAYER_CONFIG; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"mp_bot_setup","MENU_TYPE_MP_BOT_SETUP","port/src/menugraph.c","mp_advanced.simulants","back:POP","character:ACTION_MENU_ACCEPT; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"training","MENU_TYPE_TRAINING","port/src/menugraph.c","legacy/scene push to trace","back:POP; close:POP","bio_profile:ACTION_MENU_ACCEPT; bio_text:ACTION_MENU_ACCEPT; hangar_location:ACTION_MENU_ACCEPT; hangar_vehicle:ACTION_MENU_ACCEPT; hangar_holograph:ACTION_MENU_ACCEPT; back:ACTION_MENU_CANCEL; close:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"fr_weapon_list","MENU_TYPE_FR_WEAPON_LIST","port/src/menugraph.c","legacy/scene push to trace","back:POP","difficulty:ACTION_MENU_ACCEPT:MENU_TYPE_FR_DIFFICULTY; info:ACTION_MENU_ACCEPT:MENU_TYPE_FR_INFO; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"fr_difficulty","MENU_TYPE_FR_DIFFICULTY","port/src/menugraph.c","fr_weapon_list.difficulty","cancel:POP","start:ACTION_MENU_ACCEPT:MENU_TYPE_FR_INFO; cancel:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"fr_info","MENU_TYPE_FR_INFO","port/src/menugraph.c","fr_weapon_list.info; fr_difficulty.start","cancel:POP; abort:POP","cancel:ACTION_MENU_CANCEL; abort:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"fr_result","MENU_TYPE_FR_RESULT","port/src/menugraph.c","legacy/scene push to trace","continue:POP; back:POP","continue:ACTION_MENU_ACCEPT; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"dt_list","MENU_TYPE_DT_LIST","port/src/menugraph.c","legacy/scene push to trace","back:POP","details:ACTION_MENU_ACCEPT:MENU_TYPE_DT_DETAILS; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"dt_details","MENU_TYPE_DT_DETAILS","port/src/menugraph.c","dt_list.details","begin:POP; cancel:POP","begin:ACTION_MENU_ACCEPT; cancel:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"dt_result","MENU_TYPE_DT_RESULT","port/src/menugraph.c","legacy/scene push to trace","continue:POP","continue:ACTION_MENU_ACCEPT","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"ht_list","MENU_TYPE_HT_LIST","port/src/menugraph.c","legacy/scene push to trace","back:POP","details:ACTION_MENU_ACCEPT:MENU_TYPE_HT_DETAILS; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"ht_details","MENU_TYPE_HT_DETAILS","port/src/menugraph.c","ht_list.details","begin:POP; cancel:POP","begin:ACTION_MENU_ACCEPT; cancel:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"ht_result","MENU_TYPE_HT_RESULT","port/src/menugraph.c","legacy/scene push to trace","continue:POP","continue:ACTION_MENU_ACCEPT","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"warning_modal","MENU_TYPE_WARNING_MODAL","port/src/menugraph.c","mp_pause.end_game; solo_mission_pause.abort; cheats.unlock_all","confirm:POP; cancel:POP","open_child:ACTION_MENU_ACCEPT; confirm:ACTION_MENU_ACCEPT; cancel:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
