dialogdef,registration_files,registration_count,reachability,entry_exit,focus_order,actions,scrolling,text_numeric_edit,glyphs,save_failure,controller_runtime,mkb_runtime
"g_CinemaMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiOptionsViaPauseMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiOptionsViaPcMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CoopMissionDifficultyMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CoopOptionsMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CtcOptionsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_DtCompletedMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_DtDetailsMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_DtFailedMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_DtListMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_ExitGameMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_ExtGameOptionsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrCopyMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrDeleteMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrEnterNameMenuDialog","port/fast3d/pdgui_menu_agentcreate.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrFileLostMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrFileSelectMenuDialog","port/fast3d/pdgui_menu_agentselect.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrOperationsMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrSaveErrorMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FilemgrSelectLocationMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FrCompletedMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FrDifficultyMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FrFailedMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FrTrainingInfoInGameMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FrTrainingInfoPreGameMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_FrWeaponListMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HangarListMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HangarLocationDetailsMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HangarVehicleDetailsMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HangarVehicleHolographMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HtbOptionsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HtCompletedMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HtDetailsMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HtFailedMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HtListMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_HtmOptionsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_KohOptionsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MissionAbortMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MissionContinueOrReplyMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MissionControlOptionsMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MissionDisplayOptionsMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpAddSimulantMenuDialog","port/fast3d/pdgui_menu_botsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpAdvancedSetupMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpAdvancedSetupViaAdvChallengeMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpArenaMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpAutoTeamMenuDialog","port/fast3d/pdgui_menu_teamsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpChallengeListOrDetailsMenuDialog","port/fast3d/pdgui_menu_challenges.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpChallengesMenuDialog","port/fast3d/pdgui_menu_challenges.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpChangeSimulantMenuDialog","port/fast3d/pdgui_menu_botsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpCharacterMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_playerconfig.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpCombatOptionsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpCompletedChallengesMenuDialog","port/fast3d/pdgui_menu_challenges.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpControlMenuDialog","port/fast3d/pdgui_menu_controldiagram.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEditSimulantMenuDialog","port/fast3d/pdgui_menu_botsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndGameMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenChallengeCheatedMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenChallengeCompletedMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenChallengeFailedMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenConfirmNameMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenIndGameOverMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenPlayerRankingMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenPlayerStatsMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenSavePlayerMenuDialog","port/fast3d/pdgui_menu_mpingame.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenTeamGameOverMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpEndscreenTeamRankingMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpHandicapsMenuDialog","port/fast3d/pdgui_menu_mpsettings.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpLimitsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpLoadPlayerMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_playerconfig.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpLoadPresetMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_playerconfig.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpLoadSettingsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_playerconfig.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPauseControlMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_mppause.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPauseInventoryMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_mppause.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPausePlayerRankingMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_mppause.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPausePlayerStatsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_mppause.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPauseTeamRankingsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_mppause.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPlayerOptionsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_mppause.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPlayerSetupViaAdvChallengeMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPlayerSetupViaAdvMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPlayerSetupViaQuickGoMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpPlayerStatsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_playerconfig.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpQuickGoMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpQuickTeamGameSetupMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpQuickTeamMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpQuickTeamScenarioMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpQuickTeamWeaponsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpScenarioMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpSelectRandomWeaponsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpSelectTunesMenuDialog","port/fast3d/pdgui_menu_mpsettings.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpSimulantCharacterMenuDialog","port/fast3d/pdgui_menu_botsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpSimulantsMenuDialog","port/fast3d/pdgui_menu_botsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpSoundtrackMenuDialog","port/fast3d/pdgui_menu_mpsettings.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpStuffMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpStuffViaAdvChallengeMenuDialog","port/fast3d/pdgui_menu_mpadvanced.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpTeamNamesMenuDialog","port/fast3d/pdgui_menu_mpsettings.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpTeamsMenuDialog","port/fast3d/pdgui_menu_teamsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_MpWeaponsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_NetMenuDialog","port/fast3d/pdgui_menu_network.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_NextMissionMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_NowSafeMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_PacOptionsMenuDialog","port/fast3d/pdgui_menu_mpsetup.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_PakNotOriginalMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
