record_id	kind	pad_ref	model_catalog_id	weapon_catalog_id	secondary_weapon_catalog_id	body_catalog_id	head_catalog_id	ailist_ref	flags	flags2	flags3
setup_0040	character_spawn	pad_0176				base:g5_guard		ailist_1038	0xc0004008	0x00000000	
setup_0041	weapon_pickup	pad_0004	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0042	character_spawn	pad_0177				base:g5_guard		ailist_1047	0xa0004008	0x00000000	
setup_0043	weapon_pickup	pad_0005	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0044	character_spawn	pad_0179				base:fbiguy		ailist_1041	0xc000a000	0x00000000	
setup_0045	character_spawn	pad_0180				base:g5_guard		ailist_1039	0xc0004008	0x00000000	
setup_0046	weapon_pickup	pad_0006	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0047	character_spawn	pad_0182				base:g5_guard		ailist_1039	0xd0002008	0x00000000	
setup_0048	weapon_pickup	pad_0010	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0049	character_spawn	pad_0181				base:g5_guard		ailist_1039	0xd0002008	0x00001000	
setup_0050	weapon_pickup	pad_0007	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0051	character_spawn	pad_0183				base:g5_guard		ailist_1039	0xc0004008	0x00000000	
setup_0052	weapon_pickup	pad_0011	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0053	character_spawn	pad_0203				base:g5_guard		ailist_1039	0xd0002008	0x00000000	
setup_0054	weapon_pickup	pad_0009	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0055	character_spawn	pad_0204				base:g5_guard		ailist_1039	0xd0002008	0x00000000	
setup_0056	weapon_pickup	pad_0009	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0057	character_spawn	pad_0184				base:g5_guard		ailist_1048	0xc0004008	0x00000000	
setup_0058	weapon_pickup	pad_0012	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0059	character_spawn	pad_0185				base:ciaguy		ailist_1042	0x80000008	0x00000000	
setup_0060	character_spawn	pad_0066				base:ciaguy		ailist_1042	0x80002000	0x00000000	
setup_0061	character_spawn	pad_0191				base:g5_guard		ailist_1054	0xc0004008	0x00000000	
setup_0062	weapon_pickup	pad_0013	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0063	character_spawn	pad_0188				base:g5_guard		ailist_1038	0xc0084008	0x00000000	
setup_0064	weapon_pickup	pad_0014	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0065	character_spawn	pad_0189				base:g5_guard		ailist_1038	0xc0084008	0x00000000	
setup_0066	weapon_pickup	pad_0015	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0067	character_spawn	pad_0190				base:g5_guard		ailist_1038	0xc0084008	0x00000000	
setup_0068	weapon_pickup	pad_0016	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0069	character_spawn	pad_0178				base:ciaguy		ailist_1043	0x80000000	0x00000000	
setup_0070	character_spawn	pad_0201				base:g5_guard		ailist_0000	0xc1086008	0x00000000	
setup_0071	weapon_pickup	pad_0017	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0072	character_spawn	pad_0202				base:g5_guard		ailist_0000	0xc1086008	0x00000000	
setup_0073	weapon_pickup	pad_0018	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0074	character_spawn	pad_0032				base:sp_body_118		ailist_1051	0x00000000	0x00000000	
setup_0075	character_spawn	pad_0099				base:g5_guard		ailist_1052	0x40084008	0x00000000	
setup_0076	character_spawn	pad_0205				base:g5_guard		ailist_1038	0xc0004208	0x00000000	
setup_0077	weapon_pickup	pad_0019	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0078	character_spawn	pad_0206				base:g5_guard		ailist_1038	0xc0004208	0x00000000	
setup_0079	weapon_pickup	pad_0020	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0080	character_spawn	pad_0207				base:g5_guard		ailist_1038	0xc0004208	0x00000000	
setup_0081	weapon_pickup	pad_0021	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0082	character_spawn	pad_0209				base:g5_guard		ailist_1038	0xc0004008	0x00000000	
setup_0083	weapon_pickup	pad_0022	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0084	tag										
setup_0085	prop		base:model_taxicab						0x00021501	0x00000000	0x00000000
setup_0086	tag										
setup_0087	prop		base:model_taxicab						0x00021501	0x00000000	0x00000000
setup_0088	tag										
setup_0089	prop		base:model_taxicab						0x00021501	0x00000000	0x00000000
setup_0090	tag										
setup_0091	prop		base:model_policecar						0x00021501	0x00000000	0x00000000
setup_0092	tag										
setup_0093	prop		base:model_policecar						0x00021501	0x00000000	0x00000000
setup_0094	tag										
setup_0095	weapon_pickup	pad_0166	base:model_chrbriefcase	base:remotemine					0x00422001	0x00000001	0x20400000
setup_0096	rename_object										
setup_0097	tag										
setup_0098	weapon_pickup		base:model_chrbriefcase						0x00000001	0x00000001	0x20000000
setup_0099	rename_object										
setup_0100	tag										
setup_0101	weapon_pickup		base:model_chrbriefcase						0x00000001	0x00000001	0x20000000
setup_0102	rename_object										
setup_0103	tag										
setup_0104	single_monitor	pad_0235	base:model_g5_laser_switch						0x00000002	0x00002301	0x00010000
setup_0105	tag										
setup_0106	weapon_pickup	pad_0166	base:model_chrbriefcase						0x00462001	0x00000001	0x20400000
setup_0107	rename_object										
setup_0108	tag										
setup_0109	weapon_pickup	pad_0028	base:model_chrbriefcase	base:falcon2_scope					0x00000001	0x00000001	0x00000000
setup_0110	rename_object										
setup_0111	tag										
setup_0112	weapon_pickup	pad_0028	base:model_chrbriefcase	base:falcon2_scope					0x00000001	0x00000001	0x00000000
setup_0113	rename_object										
setup_0114	tag										
setup_0115	prop	pad_0156	base:model_chrbriefcase						0x012004e1	0x00086000	0x00000000
setup_0116	tag										
setup_0117	hover_car	pad_0163	base:model_taxicab						0x20000108	0x00000001	0x10010000
setup_0118	tag										
setup_0119	hover_car	pad_0164	base:model_limo						0x20000108	0x00000001	0x10000000
setup_0120	tag										
setup_0121	prop		base:model_wirefence						0x00021501	0x00008000	0x00000000
setup_0122	tag										
setup_0123	door	pad_0251	base:model_g5_escdoorup						0x13520d00	0x20304300	0x00000000
setup_0124	tag										
setup_0125	door	pad_0252	base:model_g5_escdoordown						0x13520d00	0x20304300	0x00000000
setup_0126	tag										
setup_0127	tag										
setup_0128	door	pad_0236	base:model_g5carliftdoor						0x10000000	0x00000000	0x00000020
setup_0129	door	pad_0237	base:model_g5carliftdoor						0x10000000	0x00000000	0x00000000
setup_0130	tag										
setup_0131	door	pad_0238	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0132	tag										
setup_0133	door	pad_0239	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0134	door	pad_0240	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0135	door	pad_0241	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0136	tag										
setup_0137	tag										
setup_0138	door	pad_0242	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0139	door	pad_0243	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0140	tag										
setup_0141	door	pad_0244	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0142	tag										
setup_0143	tag										
setup_0144	door	pad_0245	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0145	door	pad_0246	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0146	door	pad_0247	base:model_ch_shutter1						0x10000000	0x00000000	0x00000000
setup_0147	tag										
setup_0148	prop	pad_0103	base:model_chrremotemine						0x012004e1	0x00086001	0x00000000
setup_0149	tag										
setup_0150	prop	pad_0103	base:model_chrremotemine						0x012004e1	0x00086001	0x00000000
setup_0151	door	pad_0253	base:model_door2a_g5						0x10000400	0x00000000	0x00000000
setup_0152	door	pad_0254	base:model_door2a_g5						0x00000400	0x00000000	0x00000000
setup_0153	door	pad_0260	base:model_officedoor_fn						0x00000000	0x08000000	0x00000000
setup_0154	door	pad_0261	base:model_officedoor_fn						0x20000000	0x10000000	0x00000000
setup_0155	tag										
setup_0156	prop	pad_0286	base:model_dumpster						0x004001e1	0x00004000	0x00000801
setup_0157	weapon_pickup		base:model_chrbriefcase						0x40008000	0x00000000	0x00000000
setup_0158	tag										
setup_0159	prop	pad_0267	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0160	prop	pad_0268	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0161	prop	pad_0270	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0162	prop	pad_0271	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0163	prop	pad_0272	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0164	prop	pad_0273	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0165	prop	pad_0274	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0166	prop	pad_0275	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0167	prop	pad_0276	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0168	prop	pad_0277	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0169	prop	pad_0278	base:model_barrel						0x000001e1	0x00000001	0x00000000
setup_0170	prop	pad_0279	base:model_barrel						0x000001e8	0x00000001	0x00000000
setup_0171	prop	pad_0281	base:model_barrel						0x000000e8	0x00080001	0x00000000
setup_0172	prop	pad_0285	base:model_barrel						0x000000e8	0x00080001	0x00000000
setup_0173	prop	pad_0284	base:model_barrel						0x000000e8	0x00080001	0x00000000
setup_0174	prop	pad_0283	base:model_barrel						0x000000e8	0x00080001	0x00000000
setup_0175	prop	pad_0280	base:model_barrel						0x000000e8	0x00080001	0x00000000
setup_0176	prop	pad_0282	base:model_barrel						0x000000e8	0x00080001	0x00000000
setup_0177	prop	pad_0262	base:model_dumpster						0x000201e1	0x00000000	0x00000000
setup_0178	prop	pad_0263	base:model_dumpster						0x000201e1	0x00000000	0x00000000
setup_0179	prop	pad_0264	base:model_dumpster						0x000201e1	0x00000000	0x00000000
setup_0180	prop	pad_0265	base:model_dumpster						0x000201e1	0x00000000	0x00000000
setup_0181	prop	pad_0266	base:model_dumpster						0x000201e1	0x00000000	0x00000000
setup_0182	door	pad_0248	base:model_grate_pl						0x10000400	0x80000000	0x00000000
setup_0183	door	pad_0249	base:model_grate_pl						0x10000400	0x80000000	0x00000000
setup_0184	door	pad_0250	base:model_grate_pl						0x10000400	0x80000000	0x00000000
setup_0185	tag										
setup_0186	tag										
setup_0187	weapon_pickup	pad_0287	base:model_chrfalcon2	base:falcon2_scope					0x00420001	0x00000000	0x00000000
setup_0188	weapon_pickup	pad_0287	base:model_chrfalcon2	base:falcon2_scope					0x00420001	0x00000000	0x00000000
setup_0189	linked_guns										
setup_0190	tag										
setup_0191	shield	pad_0289	base:model_chrshield						0x00000001	0x000000e0	0x00000000
setup_0192	tag										
setup_0193	shield	pad_0290	base:model_chrshield						0x00000001	0x000000c0	0x00000000
setup_0194	tinted_glass	pad_0291	base:model_window_fz						0x14000b62	0x00000000	0x00000000
setup_0195	tinted_glass	pad_0292	base:model_window_fz						0x14000b62	0x00000000	0x00000000
setup_0196	tinted_glass	pad_0293	base:model_window_fz						0x14000b62	0x00000000	0x00000000
setup_0197	pad_effect										
setup_0198	pad_effect										
setup_0199	pad_effect										
setup_0200	pad_effect										
