record_id	kind	field	type	value	catalog_id	ref_record_id
setup_0020	objective_complete_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00200000		
setup_0021	objective_end	command.order	s32	21		
setup_0022	objective_begin	command.order	s32	22		
setup_0022	objective_begin	objective.index	s32	4		
setup_0022	objective_begin	objective.text_token	u32_hex	0x00002209		
setup_0022	objective_begin	objective.flags	s32	0		
setup_0022	objective_begin	objective.difficulty_mask	u32_hex	0x0000000f		
setup_0023	objective_complete_flags	command.order	s32	23		
setup_0023	objective_complete_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00400000		
setup_0024	objective_fail_flags	command.order	s32	24		
setup_0024	objective_fail_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00008000		
setup_0025	objective_fail_flags	command.order	s32	25		
setup_0025	objective_fail_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00000100		
setup_0026	objective_end	command.order	s32	26		
setup_0027	tag	command.order	s32	27		
setup_0027	tag	tag.id	s32	35		
setup_0027	tag	tag.target	record_ref			setup_0029
setup_0028	tag	command.order	s32	28		
setup_0028	tag	tag.id	s32	36		
setup_0028	tag	tag.target	record_ref			setup_0030
setup_0029	door	command.order	s32	29		
setup_0029	door	base.extra_scale	s32	256		
setup_0029	door	base.hidden2	s32	0		
setup_0029	door	base.model	model_catalog_id		base:model_cidoor1_ref	
setup_0029	door	base.pad	pad_ref	pad_0342		
setup_0029	door	base.flags	u32_hex	0x00000400		
setup_0029	door	base.flags2	u32_hex	0x20000000		
setup_0029	door	base.flags3	u32_hex	0x00000000		
setup_0029	door	base.rotation[0][0]	f32	0		
setup_0029	door	base.rotation[0][1]	f32	0		
setup_0029	door	base.rotation[0][2]	f32	0		
setup_0029	door	base.rotation[1][0]	f32	0		
setup_0029	door	base.rotation[1][1]	f32	0		
setup_0029	door	base.rotation[1][2]	f32	0		
setup_0029	door	base.rotation[2][0]	f32	0		
setup_0029	door	base.rotation[2][1]	f32	0		
setup_0029	door	base.rotation[2][2]	f32	0		
setup_0029	door	base.hidden	u32_hex	0x00000000		
setup_0029	door	base.damage	s32	0		
setup_0029	door	base.max_damage	s32	1000		
setup_0029	door	base.shade_color[0]	s32	0		
setup_0029	door	base.shade_color[1]	s32	0		
setup_0029	door	base.shade_color[2]	s32	0		
setup_0029	door	base.shade_color[3]	s32	0		
setup_0029	door	base.next_color[0]	s32	0		
setup_0029	door	base.next_color[1]	s32	0		
setup_0029	door	base.next_color[2]	s32	0		
setup_0029	door	base.next_color[3]	s32	0		
setup_0029	door	base.floor_color	s32	4095		
setup_0029	door	base.geo_count	s32	0		
setup_0029	door	door.maxfrac	f32	8.72434411e-41		
setup_0029	door	door.perimfrac	f32	9.18354962e-41		
setup_0029	door	door.accel	f32	4.59163468e-41		
setup_0029	door	door.decel	f32	1.1479437e-40		
setup_0029	door	door.maxspeed	f32	2.29532688e-42		
setup_0029	door	door.doorflags	s32	4		
setup_0029	door	door.doortype	s32	0		
setup_0029	door	door.key_flags	u32_hex	0x00000004		
setup_0029	door	door.autoclosetime	s32	900		
setup_0029	door	door.frac	f32	0		
setup_0029	door	door.fracspeed	f32	0		
setup_0029	door	door.mode	s32	0		
setup_0029	door	door.glasshits	s32	0		
setup_0029	door	door.fadealpha	s32	0		
setup_0029	door	door.xludist	s32	0		
setup_0029	door	door.opadist	s32	0		
setup_0029	door	door.start_position.x	f32	0		
setup_0029	door	door.start_position.y	f32	0		
setup_0029	door	door.start_position.z	f32	0		
setup_0029	door	door.matrix[0][0]	f32	0		
setup_0029	door	door.matrix[0][1]	f32	0		
setup_0029	door	door.matrix[0][2]	f32	0		
setup_0029	door	door.matrix[1][0]	f32	0		
setup_0029	door	door.matrix[1][1]	f32	0		
setup_0029	door	door.matrix[1][2]	f32	0		
setup_0029	door	door.matrix[2][0]	f32	0		
setup_0029	door	door.matrix[2][1]	f32	0		
setup_0029	door	door.matrix[2][2]	f32	0		
setup_0029	door	door.lastopen60	s32	0		
setup_0029	door	door.portalnum	s32	0		
setup_0029	door	door.soundtype	s32	8		
setup_0029	door	door.fadetime60	s32	0		
setup_0029	door	door.lastcalc60	s32	0		
setup_0029	door	door.laserfade	s32	255		
setup_0029	door	door.shade_info_player1[0]	s32	0		
setup_0029	door	door.shade_info_player1[1]	s32	0		
setup_0029	door	door.shade_info_player1[2]	s32	0		
setup_0029	door	door.shade_info_player1[3]	s32	0		
setup_0029	door	door.shade_info_player2[0]	s32	0		
setup_0029	door	door.shade_info_player2[1]	s32	0		
setup_0029	door	door.shade_info_player2[2]	s32	0		
setup_0029	door	door.shade_info_player2[3]	s32	0		
setup_0029	door	door.actual1	s32	0		
setup_0029	door	door.actual2	s32	0		
setup_0029	door	door.extra1	s32	0		
setup_0029	door	door.extra2	s32	0		
setup_0030	door	command.order	s32	30		
setup_0030	door	base.extra_scale	s32	256		
setup_0030	door	base.hidden2	s32	0		
setup_0030	door	base.model	model_catalog_id		base:model_cidoor1_ref	
setup_0030	door	base.pad	pad_ref	pad_0343		
setup_0030	door	base.flags	u32_hex	0x00000400		
setup_0030	door	base.flags2	u32_hex	0x20000000		
setup_0030	door	base.flags3	u32_hex	0x00000000		
setup_0030	door	base.rotation[0][0]	f32	0		
setup_0030	door	base.rotation[0][1]	f32	0		
setup_0030	door	base.rotation[0][2]	f32	0		
setup_0030	door	base.rotation[1][0]	f32	0		
setup_0030	door	base.rotation[1][1]	f32	0		
setup_0030	door	base.rotation[1][2]	f32	0		
setup_0030	door	base.rotation[2][0]	f32	0		
setup_0030	door	base.rotation[2][1]	f32	0		
setup_0030	door	base.rotation[2][2]	f32	0		
setup_0030	door	base.hidden	u32_hex	0x00000000		
setup_0030	door	base.damage	s32	0		
setup_0030	door	base.max_damage	s32	1000		
setup_0030	door	base.shade_color[0]	s32	0		
setup_0030	door	base.shade_color[1]	s32	0		
setup_0030	door	base.shade_color[2]	s32	0		
setup_0030	door	base.shade_color[3]	s32	0		
setup_0030	door	base.next_color[0]	s32	0		
setup_0030	door	base.next_color[1]	s32	0		
setup_0030	door	base.next_color[2]	s32	0		
setup_0030	door	base.next_color[3]	s32	0		
setup_0030	door	base.floor_color	s32	4095		
setup_0030	door	base.geo_count	s32	0		
setup_0030	door	door.maxfrac	f32	8.72434411e-41		
setup_0030	door	door.perimfrac	f32	9.18354962e-41		
setup_0030	door	door.accel	f32	4.59163468e-41		
setup_0030	door	door.decel	f32	1.1479437e-40		
setup_0030	door	door.maxspeed	f32	2.29532688e-42		
setup_0030	door	door.doorflags	s32	4		
setup_0030	door	door.doortype	s32	0		
setup_0030	door	door.key_flags	u32_hex	0x00000004		
setup_0030	door	door.autoclosetime	s32	900		
setup_0030	door	door.frac	f32	0		
setup_0030	door	door.fracspeed	f32	0		
setup_0030	door	door.mode	s32	0		
setup_0030	door	door.glasshits	s32	0		
setup_0030	door	door.fadealpha	s32	0		
setup_0030	door	door.xludist	s32	0		
setup_0030	door	door.opadist	s32	0		
setup_0030	door	door.start_position.x	f32	0		
setup_0030	door	door.start_position.y	f32	0		
setup_0030	door	door.start_position.z	f32	0		
setup_0030	door	door.matrix[0][0]	f32	0		
setup_0030	door	door.matrix[0][1]	f32	0		
setup_0030	door	door.matrix[0][2]	f32	0		
setup_0030	door	door.matrix[1][0]	f32	0		
setup_0030	door	door.matrix[1][1]	f32	0		
setup_0030	door	door.matrix[1][2]	f32	0		
setup_0030	door	door.matrix[2][0]	f32	0		
setup_0030	door	door.matrix[2][1]	f32	0		
setup_0030	door	door.matrix[2][2]	f32	0		
setup_0030	door	door.lastopen60	s32	0		
setup_0030	door	door.portalnum	s32	0		
setup_0030	door	door.soundtype	s32	0		
setup_0030	door	door.fadetime60	s32	0		
setup_0030	door	door.lastcalc60	s32	0		
setup_0030	door	door.laserfade	s32	255		
setup_0030	door	door.shade_info_player1[0]	s32	0		
setup_0030	door	door.shade_info_player1[1]	s32	0		
setup_0030	door	door.shade_info_player1[2]	s32	0		
setup_0030	door	door.shade_info_player1[3]	s32	0		
setup_0030	door	door.shade_info_player2[0]	s32	0		
setup_0030	door	door.shade_info_player2[1]	s32	0		
setup_0030	door	door.shade_info_player2[2]	s32	0		
setup_0030	door	door.shade_info_player2[3]	s32	0		
setup_0030	door	door.actual1	s32	0		
setup_0030	door	door.actual2	s32	0		
setup_0030	door	door.extra1	s32	0		
setup_0030	door	door.extra2	s32	0		
setup_0031	tag	command.order	s32	31		
setup_0031	tag	tag.id	s32	67		
setup_0031	tag	tag.target	record_ref			setup_0033
setup_0032	tag	command.order	s32	32		
setup_0032	tag	tag.id	s32	68		
setup_0032	tag	tag.target	record_ref			setup_0034
setup_0033	door	command.order	s32	33		
setup_0033	door	base.extra_scale	s32	256		
setup_0033	door	base.hidden2	s32	0		
setup_0033	door	base.model	model_catalog_id		base:model_cidoor1_ref	
setup_0033	door	base.pad	pad_ref	pad_0344		
setup_0033	door	base.flags	u32_hex	0x00000400		
setup_0033	door	base.flags2	u32_hex	0x00000000		
setup_0033	door	base.flags3	u32_hex	0x00000000		
setup_0033	door	base.rotation[0][0]	f32	0		
setup_0033	door	base.rotation[0][1]	f32	0		
setup_0033	door	base.rotation[0][2]	f32	0		
setup_0033	door	base.rotation[1][0]	f32	0		
setup_0033	door	base.rotation[1][1]	f32	0		
setup_0033	door	base.rotation[1][2]	f32	0		
setup_0033	door	base.rotation[2][0]	f32	0		
setup_0033	door	base.rotation[2][1]	f32	0		
setup_0033	door	base.rotation[2][2]	f32	0		
setup_0033	door	base.hidden	u32_hex	0x00000000		
setup_0033	door	base.damage	s32	0		
setup_0033	door	base.max_damage	s32	1000		
setup_0033	door	base.shade_color[0]	s32	0		
setup_0033	door	base.shade_color[1]	s32	0		
setup_0033	door	base.shade_color[2]	s32	0		
setup_0033	door	base.shade_color[3]	s32	0		
setup_0033	door	base.next_color[0]	s32	0		
setup_0033	door	base.next_color[1]	s32	0		
setup_0033	door	base.next_color[2]	s32	0		
setup_0033	door	base.next_color[3]	s32	0		
setup_0033	door	base.floor_color	s32	4095		
setup_0033	door	base.geo_count	s32	0		
setup_0033	door	door.maxfrac	f32	8.72434411e-41		
setup_0033	door	door.perimfrac	f32	9.18354962e-41		
setup_0033	door	door.accel	f32	4.59163468e-41		
setup_0033	door	door.decel	f32	1.1479437e-40		
setup_0033	door	door.maxspeed	f32	2.29532688e-42		
setup_0033	door	door.doorflags	s32	4		
setup_0033	door	door.doortype	s32	0		
setup_0033	door	door.key_flags	u32_hex	0x00000000		
setup_0033	door	door.autoclosetime	s32	900		
setup_0033	door	door.frac	f32	0		
setup_0033	door	door.fracspeed	f32	0		
setup_0033	door	door.mode	s32	0		
setup_0033	door	door.glasshits	s32	0		
setup_0033	door	door.fadealpha	s32	0		
setup_0033	door	door.xludist	s32	0		
setup_0033	door	door.opadist	s32	0		
setup_0033	door	door.start_position.x	f32	0		
setup_0033	door	door.start_position.y	f32	0		
setup_0033	door	door.start_position.z	f32	0		
setup_0033	door	door.matrix[0][0]	f32	0		
setup_0033	door	door.matrix[0][1]	f32	0		
setup_0033	door	door.matrix[0][2]	f32	0		
setup_0033	door	door.matrix[1][0]	f32	0		
setup_0033	door	door.matrix[1][1]	f32	0		
setup_0033	door	door.matrix[1][2]	f32	0		
setup_0033	door	door.matrix[2][0]	f32	0		
setup_0033	door	door.matrix[2][1]	f32	0		
setup_0033	door	door.matrix[2][2]	f32	0		
setup_0033	door	door.lastopen60	s32	0		
setup_0033	door	door.portalnum	s32	0		
setup_0033	door	door.soundtype	s32	8		
setup_0033	door	door.fadetime60	s32	0		
setup_0033	door	door.lastcalc60	s32	0		
setup_0033	door	door.laserfade	s32	255		
setup_0033	door	door.shade_info_player1[0]	s32	0		
setup_0033	door	door.shade_info_player1[1]	s32	0		
setup_0033	door	door.shade_info_player1[2]	s32	0		
setup_0033	door	door.shade_info_player1[3]	s32	0		
setup_0033	door	door.shade_info_player2[0]	s32	0		
setup_0033	door	door.shade_info_player2[1]	s32	0		
setup_0033	door	door.shade_info_player2[2]	s32	0		
setup_0033	door	door.shade_info_player2[3]	s32	0		
setup_0033	door	door.actual1	s32	0		
setup_0033	door	door.actual2	s32	0		
setup_0033	door	door.extra1	s32	0		
setup_0033	door	door.extra2	s32	0		
setup_0034	door	command.order	s32	34		
setup_0034	door	base.extra_scale	s32	256		
setup_0034	door	base.hidden2	s32	0		
setup_0034	door	base.model	model_catalog_id		base:model_cidoor1_ref	
setup_0034	door	base.pad	pad_ref	pad_0345		
setup_0034	door	base.flags	u32_hex	0x00000400		
setup_0034	door	base.flags2	u32_hex	0x00000000		
setup_0034	door	base.flags3	u32_hex	0x00000000		
setup_0034	door	base.rotation[0][0]	f32	0		
setup_0034	door	base.rotation[0][1]	f32	0		
setup_0034	door	base.rotation[0][2]	f32	0		
setup_0034	door	base.rotation[1][0]	f32	0		
setup_0034	door	base.rotation[1][1]	f32	0		
setup_0034	door	base.rotation[1][2]	f32	0		
setup_0034	door	base.rotation[2][0]	f32	0		
setup_0034	door	base.rotation[2][1]	f32	0		
setup_0034	door	base.rotation[2][2]	f32	0		
setup_0034	door	base.hidden	u32_hex	0x00000000		
setup_0034	door	base.damage	s32	0		
setup_0034	door	base.max_damage	s32	1000		
setup_0034	door	base.shade_color[0]	s32	0		
setup_0034	door	base.shade_color[1]	s32	0		
setup_0034	door	base.shade_color[2]	s32	0		
setup_0034	door	base.shade_color[3]	s32	0		
setup_0034	door	base.next_color[0]	s32	0		
setup_0034	door	base.next_color[1]	s32	0		
setup_0034	door	base.next_color[2]	s32	0		
setup_0034	door	base.next_color[3]	s32	0		
setup_0034	door	base.floor_color	s32	4095		
setup_0034	door	base.geo_count	s32	0		
setup_0034	door	door.maxfrac	f32	8.72434411e-41		
setup_0034	door	door.perimfrac	f32	9.18354962e-41		
setup_0034	door	door.accel	f32	4.59163468e-41		
setup_0034	door	door.decel	f32	1.1479437e-40		
setup_0034	door	door.maxspeed	f32	2.29532688e-42		
setup_0034	door	door.doorflags	s32	4		
setup_0034	door	door.doortype	s32	0		
setup_0034	door	door.key_flags	u32_hex	0x00000000		
setup_0034	door	door.autoclosetime	s32	900		
setup_0034	door	door.frac	f32	0		
setup_0034	door	door.fracspeed	f32	0		
setup_0034	door	door.mode	s32	0		
setup_0034	door	door.glasshits	s32	0		
setup_0034	door	door.fadealpha	s32	0		
setup_0034	door	door.xludist	s32	0		
setup_0034	door	door.opadist	s32	0		
setup_0034	door	door.start_position.x	f32	0		
setup_0034	door	door.start_position.y	f32	0		
setup_0034	door	door.start_position.z	f32	0		
setup_0034	door	door.matrix[0][0]	f32	0		
setup_0034	door	door.matrix[0][1]	f32	0		
setup_0034	door	door.matrix[0][2]	f32	0		
setup_0034	door	door.matrix[1][0]	f32	0		
setup_0034	door	door.matrix[1][1]	f32	0		
setup_0034	door	door.matrix[1][2]	f32	0		
setup_0034	door	door.matrix[2][0]	f32	0		
setup_0034	door	door.matrix[2][1]	f32	0		
setup_0034	door	door.matrix[2][2]	f32	0		
setup_0034	door	door.lastopen60	s32	0		
setup_0034	door	door.portalnum	s32	0		
setup_0034	door	door.soundtype	s32	0		
setup_0034	door	door.fadetime60	s32	0		
setup_0034	door	door.lastcalc60	s32	0		
setup_0034	door	door.laserfade	s32	255		
setup_0034	door	door.shade_info_player1[0]	s32	0		
setup_0034	door	door.shade_info_player1[1]	s32	0		
setup_0034	door	door.shade_info_player1[2]	s32	0		
setup_0034	door	door.shade_info_player1[3]	s32	0		
setup_0034	door	door.shade_info_player2[0]	s32	0		
setup_0034	door	door.shade_info_player2[1]	s32	0		
setup_0034	door	door.shade_info_player2[2]	s32	0		
setup_0034	door	door.shade_info_player2[3]	s32	0		
setup_0034	door	door.actual1	s32	0		
setup_0034	door	door.actual2	s32	0		
setup_0034	door	door.extra1	s32	0		
setup_0034	door	door.extra2	s32	0		
setup_0035	door	command.order	s32	35		
setup_0035	door	base.extra_scale	s32	256		
setup_0035	door	base.hidden2	s32	0		
setup_0035	door	base.model	model_catalog_id		base:model_cidoor1_ref	
setup_0035	door	base.pad	pad_ref	pad_0347		
setup_0035	door	base.flags	u32_hex	0x00000400		
setup_0035	door	base.flags2	u32_hex	0x00000000		
setup_0035	door	base.flags3	u32_hex	0x00000000		
setup_0035	door	base.rotation[0][0]	f32	0		
setup_0035	door	base.rotation[0][1]	f32	0		
setup_0035	door	base.rotation[0][2]	f32	0		
setup_0035	door	base.rotation[1][0]	f32	0		
setup_0035	door	base.rotation[1][1]	f32	0		
setup_0035	door	base.rotation[1][2]	f32	0		
setup_0035	door	base.rotation[2][0]	f32	0		
setup_0035	door	base.rotation[2][1]	f32	0		
setup_0035	door	base.rotation[2][2]	f32	0		
setup_0035	door	base.hidden	u32_hex	0x00000000		
setup_0035	door	base.damage	s32	0		
setup_0035	door	base.max_damage	s32	1000		
setup_0035	door	base.shade_color[0]	s32	0		
setup_0035	door	base.shade_color[1]	s32	0		
setup_0035	door	base.shade_color[2]	s32	0		
setup_0035	door	base.shade_color[3]	s32	0		
setup_0035	door	base.next_color[0]	s32	0		
setup_0035	door	base.next_color[1]	s32	0		
setup_0035	door	base.next_color[2]	s32	0		
setup_0035	door	base.next_color[3]	s32	0		
setup_0035	door	base.floor_color	s32	4095		
setup_0035	door	base.geo_count	s32	0		
setup_0035	door	door.maxfrac	f32	8.72434411e-41		
setup_0035	door	door.perimfrac	f32	9.18354962e-41		
setup_0035	door	door.accel	f32	4.59163468e-41		
setup_0035	door	door.decel	f32	1.1479437e-40		
setup_0035	door	door.maxspeed	f32	2.29532688e-42		
setup_0035	door	door.doorflags	s32	4		
setup_0035	door	door.doortype	s32	0		
setup_0035	door	door.key_flags	u32_hex	0x00000000		
setup_0035	door	door.autoclosetime	s32	900		
setup_0035	door	door.frac	f32	0		
setup_0035	door	door.fracspeed	f32	0		
setup_0035	door	door.mode	s32	0		
setup_0035	door	door.glasshits	s32	0		
setup_0035	door	door.fadealpha	s32	0		
setup_0035	door	door.xludist	s32	0		
setup_0035	door	door.opadist	s32	0		
setup_0035	door	door.start_position.x	f32	0		
setup_0035	door	door.start_position.y	f32	0		
setup_0035	door	door.start_position.z	f32	0		
setup_0035	door	door.matrix[0][0]	f32	0		
setup_0035	door	door.matrix[0][1]	f32	0		
setup_0035	door	door.matrix[0][2]	f32	0		
setup_0035	door	door.matrix[1][0]	f32	0		
setup_0035	door	door.matrix[1][1]	f32	0		
setup_0035	door	door.matrix[1][2]	f32	0		
setup_0035	door	door.matrix[2][0]	f32	0		
setup_0035	door	door.matrix[2][1]	f32	0		
setup_0035	door	door.matrix[2][2]	f32	0		
setup_0035	door	door.lastopen60	s32	0		
setup_0035	door	door.portalnum	s32	0		
setup_0035	door	door.soundtype	s32	8		
setup_0035	door	door.fadetime60	s32	0		
setup_0035	door	door.lastcalc60	s32	0		
setup_0035	door	door.laserfade	s32	255		
setup_0035	door	door.shade_info_player1[0]	s32	0		
setup_0035	door	door.shade_info_player1[1]	s32	0		
setup_0035	door	door.shade_info_player1[2]	s32	0		
setup_0035	door	door.shade_info_player1[3]	s32	0		
setup_0035	door	door.shade_info_player2[0]	s32	0		
setup_0035	door	door.shade_info_player2[1]	s32	0		
setup_0035	door	door.shade_info_player2[2]	s32	0		
setup_0035	door	door.shade_info_player2[3]	s32	0		
setup_0035	door	door.actual1	s32	0		
setup_0035	door	door.actual2	s32	0		
setup_0035	door	door.extra1	s32	0		
setup_0035	door	door.extra2	s32	0		
setup_0036	door	command.order	s32	36		
setup_0036	door	base.extra_scale	s32	256		
setup_0036	door	base.hidden2	s32	0		
setup_0036	door	base.model	model_catalog_id		base:model_cidoor1_ref	
setup_0036	door	base.pad	pad_ref	pad_0348		
setup_0036	door	base.flags	u32_hex	0x00000400		
setup_0036	door	base.flags2	u32_hex	0x00000000		
setup_0036	door	base.flags3	u32_hex	0x00000000		
setup_0036	door	base.rotation[0][0]	f32	0		
setup_0036	door	base.rotation[0][1]	f32	0		
setup_0036	door	base.rotation[0][2]	f32	0		
setup_0036	door	base.rotation[1][0]	f32	0		
setup_0036	door	base.rotation[1][1]	f32	0		
setup_0036	door	base.rotation[1][2]	f32	0		
setup_0036	door	base.rotation[2][0]	f32	0		
setup_0036	door	base.rotation[2][1]	f32	0		
setup_0036	door	base.rotation[2][2]	f32	0		
setup_0036	door	base.hidden	u32_hex	0x00000000		
setup_0036	door	base.damage	s32	0		
setup_0036	door	base.max_damage	s32	1000		
setup_0036	door	base.shade_color[0]	s32	0		
setup_0036	door	base.shade_color[1]	s32	0		
setup_0036	door	base.shade_color[2]	s32	0		
setup_0036	door	base.shade_color[3]	s32	0		
setup_0036	door	base.next_color[0]	s32	0		
setup_0036	door	base.next_color[1]	s32	0		
setup_0036	door	base.next_color[2]	s32	0		
setup_0036	door	base.next_color[3]	s32	0		
setup_0036	door	base.floor_color	s32	4095		
setup_0036	door	base.geo_count	s32	0		
setup_0036	door	door.maxfrac	f32	8.72434411e-41		
setup_0036	door	door.perimfrac	f32	9.18354962e-41		
setup_0036	door	door.accel	f32	4.59163468e-41		
setup_0036	door	door.decel	f32	1.1479437e-40		
setup_0036	door	door.maxspeed	f32	2.29532688e-42		
setup_0036	door	door.doorflags	s32	4		
setup_0036	door	door.doortype	s32	0		
setup_0036	door	door.key_flags	u32_hex	0x00000000		
setup_0036	door	door.autoclosetime	s32	900		
setup_0036	door	door.frac	f32	0		
setup_0036	door	door.fracspeed	f32	0		
setup_0036	door	door.mode	s32	0		
setup_0036	door	door.glasshits	s32	0		
setup_0036	door	door.fadealpha	s32	0		
setup_0036	door	door.xludist	s32	0		
setup_0036	door	door.opadist	s32	0		
setup_0036	door	door.start_position.x	f32	0		
setup_0036	door	door.start_position.y	f32	0		
setup_0036	door	door.start_position.z	f32	0		
setup_0036	door	door.matrix[0][0]	f32	0		
setup_0036	door	door.matrix[0][1]	f32	0		
setup_0036	door	door.matrix[0][2]	f32	0		
setup_0036	door	door.matrix[1][0]	f32	0		
setup_0036	door	door.matrix[1][1]	f32	0		
setup_0036	door	door.matrix[1][2]	f32	0		
setup_0036	door	door.matrix[2][0]	f32	0		
setup_0036	door	door.matrix[2][1]	f32	0		
setup_0036	door	door.matrix[2][2]	f32	0		
setup_0036	door	door.lastopen60	s32	0		
setup_0036	door	door.portalnum	s32	0		
setup_0036	door	door.soundtype	s32	8		
setup_0036	door	door.fadetime60	s32	0		
setup_0036	door	door.lastcalc60	s32	0		
setup_0036	door	door.laserfade	s32	255		
setup_0036	door	door.shade_info_player1[0]	s32	0		
setup_0036	door	door.shade_info_player1[1]	s32	0		
setup_0036	door	door.shade_info_player1[2]	s32	0		
setup_0036	door	door.shade_info_player1[3]	s32	0		
setup_0036	door	door.shade_info_player2[0]	s32	0		
setup_0036	door	door.shade_info_player2[1]	s32	0		
setup_0036	door	door.shade_info_player2[2]	s32	0		
setup_0036	door	door.shade_info_player2[3]	s32	0		
setup_0036	door	door.actual1	s32	0		
setup_0036	door	door.actual2	s32	0		
setup_0036	door	door.extra1	s32	0		
setup_0036	door	door.extra2	s32	0		
setup_0037	tag	command.order	s32	37		
setup_0037	tag	tag.id	s32	84		
setup_0037	tag	tag.target	record_ref			setup_0038
setup_0038	door	command.order	s32	38		
setup_0038	door	base.extra_scale	s32	256		
setup_0038	door	base.hidden2	s32	0		
setup_0038	door	base.model	model_catalog_id		base:model_cidoor1_ref	
setup_0038	door	base.pad	pad_ref	pad_0346		
setup_0038	door	base.flags	u32_hex	0x00000400		
setup_0038	door	base.flags2	u32_hex	0x00000000		
setup_0038	door	base.flags3	u32_hex	0x00000000		
setup_0038	door	base.rotation[0][0]	f32	0		
setup_0038	door	base.rotation[0][1]	f32	0		
setup_0038	door	base.rotation[0][2]	f32	0		
setup_0038	door	base.rotation[1][0]	f32	0		
setup_0038	door	base.rotation[1][1]	f32	0		
setup_0038	door	base.rotation[1][2]	f32	0		
setup_0038	door	base.rotation[2][0]	f32	0		
setup_0038	door	base.rotation[2][1]	f32	0		
setup_0038	door	base.rotation[2][2]	f32	0		
setup_0038	door	base.hidden	u32_hex	0x00000000		
setup_0038	door	base.damage	s32	0		
setup_0038	door	base.max_damage	s32	1000		
setup_0038	door	base.shade_color[0]	s32	0		
setup_0038	door	base.shade_color[1]	s32	0		
setup_0038	door	base.shade_color[2]	s32	0		
setup_0038	door	base.shade_color[3]	s32	0		
setup_0038	door	base.next_color[0]	s32	0		
setup_0038	door	base.next_color[1]	s32	0		
setup_0038	door	base.next_color[2]	s32	0		
setup_0038	door	base.next_color[3]	s32	0		
