portal_id	room_a	room_b	flags	vertices
portal_0012	room_10	room_9	0x00	1183.000000,18.000000,1259.000000;1183.000000,215.000000,1259.000000;1183.000000,215.000000,719.000000;1183.000000,18.000000,719.000000
portal_0013	room_3	room_11	0x00	1217.000000,583.000000,200.000000;1217.000000,583.000000,400.000000;1217.000000,325.000000,400.000000;1217.000000,325.000000,200.000000
portal_0014	room_12	room_11	0x00	817.000000,583.000000,412.000000;1017.000000,583.000000,413.000000;1017.000000,325.000000,413.000000;817.000000,325.000000,413.000000
portal_0015	room_13	room_12	0x00	1583.000000,583.000000,425.000000;783.000000,583.000000,425.000000;783.000000,583.000000,1317.000000;1583.000000,583.000000,1317.000000
portal_0016	room_63	room_12	0x00	1466.000000,325.000000,1317.000000;1305.000000,325.000000,1317.000000;1305.000000,515.000000,1317.000000;1466.000000,515.000000,1317.000000
portal_0017	room_3	room_14	0x00	417.000000,583.000000,400.000000;417.000000,583.000000,200.000000;417.000000,325.000000,200.000000;417.000000,325.000000,400.000000
portal_0018	room_16	room_14	0x00	783.000000,583.000000,412.000000;783.000000,325.000000,413.000000;583.000000,325.000000,413.000000;583.000000,583.000000,413.000000
portal_0019	room_13	room_15	0x00	783.000000,583.000000,1382.000000;783.000000,1300.000000,600.000000;783.000000,1300.000000,425.000000;783.000000,583.000000,425.000000
portal_0020	room_15	room_16	0x00	783.000000,583.000000,425.000000;17.000000,583.000000,425.000000;17.000000,583.000000,1317.000000;783.000000,583.000000,1317.000000
portal_0021	room_6	room_17	0x00	17.000000,0.000000,-1200.000000;17.000000,300.000000,-1200.000000;17.000000,300.000000,-900.000000;17.000000,0.000000,-900.000000
portal_0022	room_20	room_18	0x00	-2019.000000,442.000000,-1007.000000;-1740.000000,800.000000,-1491.000000;-383.000000,800.000000,-707.000000;-662.000000,442.000000,-224.000000
portal_0023	room_1	room_18	0x00	-883.000000,600.000000,159.000000;-783.000000,600.000000,-14.000000;-783.000000,325.000000,-14.000000;-883.000000,325.000000,159.000000
portal_0024	room_19	room_18	0x00	-1973.000000,1333.000000,-1086.000000;-1823.000000,1033.000000,-1346.000000;-467.000000,1033.000000,-563.000000;-617.000000,1333.000000,-303.000000
portal_0025	room_21	room_20	0x00	-233.000000,-349.000000,-967.000000;-1590.000000,-349.000000,-1750.000000;-1590.000000,500.000000,-1750.000000;-233.000000,500.000000,-967.000000
portal_0026	room_1	room_20	0x00	-683.000000,-167.000000,-188.000000;-783.000000,-167.000000,-14.000000;-783.000000,233.000000,-14.000000;-683.000000,233.000000,-188.000000
portal_0027	room_19	room_20	0x00	-1723.000000,833.000000,-1519.000000;-1573.000000,533.000000,-1779.000000;-217.000000,533.000000,-996.000000;-367.000000,833.000000,-736.000000
portal_0028	room_17	room_21	0x00	-83.000000,300.000000,-1227.000000;-83.000000,-349.000000,-1227.000000;-233.000000,-349.000000,-967.000000;-233.000000,300.000000,-967.000000
portal_0029	room_23	room_22	0x00	-1401.000000,300.000000,-111.000000;-1401.000000,0.000000,-111.000000;-1301.000000,0.000000,-284.000000;-1301.000000,300.000000,-284.000000
portal_0030	room_24	room_22	0x00	-1906.000000,300.000000,-403.000000;-1906.000000,0.000000,-403.000000;-1806.000000,0.000000,-576.000000;-1806.000000,300.000000,-576.000000
portal_0031	room_20	room_22	0x00	-1728.000000,242.000000,-545.000000;-1555.000000,242.000000,-445.000000;-1555.000000,0.000000,-445.000000;-1728.000000,0.000000,-545.000000
portal_0032	room_25	room_23	0x00	-1200.000000,0.000000,707.000000;-1200.000000,300.000000,707.000000;-1414.000000,300.000000,-90.000000;-1414.000000,0.000000,-90.000000
portal_0033	room_25	room_24	0x00	-2365.000000,300.000000,-408.000000;-2365.000000,0.000000,-408.000000;-2106.000000,0.000000,-490.000000;-2106.000000,300.000000,-490.000000
portal_0034	room_18	room_26	0x00	-1101.000000,583.000000,-198.000000;-1201.000000,583.000000,-24.000000;-1201.000000,325.000000,-24.000000;-1101.000000,325.000000,-198.000000
portal_0035	room_27	room_26	0x00	-1554.000000,583.000000,-214.000000;-1380.000000,583.000000,-114.000000;-1380.000000,325.000000,-114.000000;-1554.000000,325.000000,-214.000000
portal_0036	room_28	room_27	0x00	-896.000000,583.000000,180.000000;-1589.000000,583.000000,-220.000000;-2034.000000,583.000000,553.000000;-1342.000000,583.000000,953.000000
portal_0037	room_52	room_27	0x00	-1412.000000,458.000000,912.000000;-1412.000000,325.000000,912.000000;-1543.000000,325.000000,836.000000;-1543.000000,458.000000,836.000000
portal_0038	room_18	room_29	0x00	-1894.000000,583.000000,-424.000000;-1794.000000,583.000000,-598.000000;-1794.000000,325.000000,-598.000000;-1894.000000,325.000000,-424.000000
portal_0039	room_30	room_29	0x00	-1582.000000,583.000000,-230.000000;-1582.000000,325.000000,-230.000000;-1756.000000,325.000000,-330.000000;-1756.000000,583.000000,-330.000000
portal_0040	room_64	room_30	0x00	-1589.000000,583.000000,-220.000000;-2253.000000,583.000000,-603.000000;-2698.000000,583.000000,169.000000;-2034.000000,583.000000,553.000000
portal_0041	room_45	room_30	0x00	-2274.000000,325.000000,414.000000;-2274.000000,456.000000,414.000000;-2143.000000,456.000000,490.000000;-2143.000000,325.000000,490.000000
portal_0042	room_31	room_30	0x00	-2474.000000,325.000000,299.000000;-2614.000000,325.000000,218.000000;-2614.000000,515.000000,218.000000;-2474.000000,515.000000,299.000000
portal_0043	room_32	room_31	0x00	-3025.000000,515.000000,1253.000000;-3025.000000,325.000000,1253.000000;-3165.000000,325.000000,1173.000000;-3165.000000,515.000000,1173.000000
portal_0044	room_48	room_32	0x00	-3093.000000,325.000000,1400.000000;-3093.000000,515.000000,1400.000000;-3012.000000,515.000000,1261.000000;-3012.000000,325.000000,1261.000000
portal_0045	room_33	room_32	0x00	-3245.000000,325.000000,1312.000000;-3165.000000,325.000000,1173.000000;-3165.000000,515.000000,1173.000000;-3245.000000,515.000000,1312.000000
portal_0046	room_34	room_33	0x00	-3644.000000,325.000000,896.000000;-3644.000000,515.000000,896.000000;-3724.000000,515.000000,1036.000000;-3724.000000,325.000000,1036.000000
portal_0047	room_36	room_33	0x00	-3585.000000,325.000000,1116.000000;-3724.000000,325.000000,1036.000000;-3724.000000,515.000000,1036.000000;-3585.000000,515.000000,1116.000000
portal_0048	room_35	room_34	0x00	-3983.000000,384.000000,700.000000;-3983.000000,515.000000,700.000000;-4064.000000,515.000000,840.000000;-4064.000000,384.000000,840.000000
portal_0049	room_37	room_36	0x00	-3781.000000,325.000000,1456.000000;-3920.000000,325.000000,1375.000000;-3920.000000,515.000000,1375.000000;-3781.000000,515.000000,1456.000000
portal_0050	room_55	room_37	0x00	-4361.000000,325.000000,2460.000000;-4361.000000,515.000000,2460.000000;-4280.000000,515.000000,2320.000000;-4280.000000,325.000000,2320.000000
portal_0051	room_38	room_37	0x00	-4420.000000,325.000000,2240.000000;-4420.000000,515.000000,2240.000000;-4500.000000,515.000000,2379.000000;-4500.000000,325.000000,2379.000000
portal_0052	room_39	room_37	0x00	-4361.000000,325.000000,2460.000000;-4500.000000,325.000000,2379.000000;-4500.000000,515.000000,2379.000000;-4361.000000,515.000000,2460.000000
portal_0053	room_43	room_39	0x00	-4526.000000,325.000000,2747.000000;-4607.000000,325.000000,2887.000000;-4607.000000,515.000000,2887.000000;-4526.000000,515.000000,2747.000000
portal_0054	room_40	room_39	0x00	-4607.000000,325.000000,2887.000000;-4747.000000,325.000000,2806.000000;-4747.000000,515.000000,2806.000000;-4607.000000,515.000000,2887.000000
portal_0055	room_42	room_40	0x00	-4841.000000,325.000000,3292.000000;-4981.000000,325.000000,3212.000000;-4981.000000,515.000000,3212.000000;-4841.000000,515.000000,3292.000000
portal_0056	room_41	room_42	0x00	-4981.000000,515.000000,3212.000000;-4981.000000,325.000000,3212.000000;-5061.000000,325.000000,3351.000000;-5061.000000,515.000000,3351.000000
portal_0057	room_44	room_43	0x00	-4001.000000,325.000000,3237.000000;-4001.000000,515.000000,3237.000000;-3920.000000,515.000000,3097.000000;-3920.000000,325.000000,3097.000000
portal_0058	room_47	room_46	0x00	-3241.000000,325.000000,1767.000000;-3241.000000,515.000000,1767.000000;-3102.000000,515.000000,1848.000000;-3102.000000,325.000000,1848.000000
portal_0059	room_49	room_48	0x00	-2825.000000,325.000000,1369.000000;-2905.000000,325.000000,1508.000000;-2905.000000,456.000000,1508.000000;-2825.000000,456.000000,1369.000000
portal_0060	room_46	room_48	0x00	-2905.000000,325.000000,1508.000000;-3045.000000,325.000000,1428.000000;-3045.000000,515.000000,1428.000000;-2905.000000,515.000000,1508.000000
portal_0061	room_45	room_49	0x00	-2825.000000,456.000000,1369.000000;-2693.000000,456.000000,1445.000000;-2693.000000,325.000000,1445.000000;-2825.000000,325.000000,1369.000000
portal_0062	room_50	room_49	0x00	-2377.000000,325.000000,1627.000000;-2377.000000,456.000000,1627.000000;-2326.000000,456.000000,1843.000000;-2326.000000,325.000000,1843.000000
portal_0063	room_51	room_50	0x00	-2034.000000,325.000000,1032.000000;-2034.000000,456.000000,1032.000000;-1978.000000,456.000000,1240.000000;-1978.000000,325.000000,1240.000000
portal_0064	room_52	room_51	0x00	-1751.000000,325.000000,1195.000000;-1751.000000,456.000000,1195.000000;-1695.000000,456.000000,1403.000000;-1695.000000,325.000000,1403.000000
portal_0065	room_53	room_54	0x00	-2620.000000,325.000000,2651.000000;-2760.000000,325.000000,2570.000000;-2760.000000,515.000000,2570.000000;-2620.000000,515.000000,2651.000000
portal_0066	room_56	room_54	0x00	-2701.000000,325.000000,2790.000000;-2701.000000,515.000000,2790.000000;-2620.000000,515.000000,2651.000000;-2620.000000,325.000000,2651.000000
portal_0067	room_54	room_55	0x00	-3032.000000,325.000000,3041.000000;-3112.000000,325.000000,3181.000000;-3112.000000,515.000000,3181.000000;-3032.000000,515.000000,3041.000000
portal_0068	room_57	room_56	0x00	-2109.000000,325.000000,2946.000000;-2248.000000,325.000000,2866.000000;-2248.000000,515.000000,2866.000000;-2109.000000,515.000000,2946.000000
portal_0069	room_58	room_57	0x00	-1687.000000,515.000000,2216.000000;-1687.000000,325.000000,2216.000000;-1826.000000,325.000000,2135.000000;-1826.000000,515.000000,2135.000000
portal_0070	room_59	room_58	0x00	-1000.000000,325.000000,2426.000000;-1081.000000,325.000000,2566.000000;-1081.000000,515.000000,2566.000000;-1000.000000,515.000000,2426.000000
portal_0071	room_60	room_59	0x00	-662.000000,325.000000,2807.000000;-662.000000,515.000000,2807.000000;-581.000000,515.000000,2668.000000;-581.000000,325.000000,2668.000000
portal_0072	room_61	room_60	0x00	210.000000,515.000000,3218.000000;210.000000,325.000000,3218.000000;130.000000,325.000000,3078.000000;130.000000,515.000000,3078.000000
portal_0073	room_62	room_61	0x00	921.000000,325.000000,2807.000000;841.000000,325.000000,2668.000000;841.000000,515.000000,2668.000000;921.000000,515.000000,2807.000000
portal_0074	room_63	room_62	0x00	1466.000000,325.000000,2307.000000;1305.000000,325.000000,2400.000000;1305.000000,515.000000,2400.000000;1466.000000,515.000000,2307.000000
portal_0075	room_28	room_64	0x00	-2067.000000,583.000000,609.000000;-1676.000000,1300.000000,-68.000000;-1589.000000,1300.000000,-220.000000;-1589.000000,583.000000,-220.000000
portal_0076	room_21	room_65	0x00	-1440.000000,0.000000,-2010.000000;-1440.000000,300.000000,-2010.000000;-1590.000000,300.000000,-1750.000000;-1590.000000,0.000000,-1750.000000
portal_0077	room_67	room_66	0x00	-3028.000000,600.000000,-1209.000000;-2450.000000,600.000000,-328.000000;-1968.000000,600.000000,-1163.000000;-2379.000000,600.000000,-1583.000000
portal_0078	room_18	room_66	0x00	-2269.000000,325.000000,-641.000000;-2269.000000,600.000000,-641.000000;-2169.000000,600.000000,-814.000000;-2169.000000,325.000000,-814.000000
portal_0079	room_68	room_66	0x00	-2899.000000,600.000000,-1283.000000;-2726.000000,600.000000,-1383.000000;-2726.000000,325.000000,-1383.000000;-2899.000000,325.000000,-1283.000000
portal_0080	room_20	room_66	0x00	-2169.000000,-167.000000,-814.000000;-2169.000000,233.000000,-814.000000;-2069.000000,233.000000,-988.000000;-2069.000000,-167.000000,-988.000000
portal_0081	room_85	room_69	0x00	16.000000,-50.000000,-5742.000000;15.000000,1118.000000,-5742.000000;17.000000,1789.000000,-1842.000000;17.000000,-50.000000,-1842.000000
portal_0082	room_85	room_69	0x00	127.000000,-667.000000,-3766.000000;127.000000,-667.000000,-3915.000000;127.000000,-433.000000,-3915.000000;127.000000,-433.000000,-3766.000000
portal_0083	room_71	room_69	0x00	1383.000000,-667.000000,-1842.000000;217.000000,-667.000000,-1842.000000;217.000000,-50.000000,-1842.000000;1566.000000,-50.000000,-1842.000000
portal_0084	room_85	room_70	0x00	17.000000,1789.000000,-1842.000000;17.000000,1854.000000,-1467.000000;17.000000,-50.000000,-1467.000000;17.000000,-50.000000,-1842.000000
portal_0085	room_72	room_70	0x00	17.000000,1854.000000,-1467.000000;2208.000000,1854.000000,-1467.000000;2208.000000,233.000000,-1467.000000;17.000000,233.000000,-1467.000000
portal_0086	room_6	room_70	0x00	963.000000,233.000000,-1420.000000;963.000000,0.000000,-1420.000000;637.000000,0.000000,-1420.000000;637.000000,233.000000,-1420.000000
portal_0087	room_69	room_70	0x00	217.000000,1854.000000,-1842.000000;2065.000000,1854.000000,-1842.000000;2065.000000,375.000000,-1842.000000;1566.000000,-50.000000,-1842.000000;217.000000,-50.000000,-1842.000000
portal_0088	room_86	room_72	0x00	17.000000,1854.000000,-1467.000000;17.000000,1854.000000,-521.000000;17.000000,1087.000000,-487.000000;17.000000,554.000000,-954.000000;17.000000,233.000000,-1275.000000;17.000000,233.000000,-1467.000000
portal_0089	room_6	room_73	0x00	1583.000000,300.000000,-900.000000;1583.000000,300.000000,-1200.000000;1583.000000,-200.000000,-1200.000000;1583.000000,-200.000000,-900.000000
portal_0090	room_74	room_73	0x00	2000.000000,500.000000,-900.000000;2000.000000,0.000000,-900.000000;1617.000000,0.000000,-900.000000;1617.000000,500.000000,-900.000000
portal_0091	room_74	room_75	0x00	1617.000000,1000.000000,-400.000000;2000.000000,1000.000000,-400.000000;2000.000000,300.000000,300.000000;1617.000000,300.000000,300.000000
portal_0092	room_80	room_76	0x00	1825.000000,-350.000000,-1300.000000;1617.000000,-350.000000,-1300.000000;1617.000000,-117.000000,-1300.000000;1825.000000,-117.000000,-1300.000000
portal_0093	room_74	room_76	0x00	2000.000000,-350.000000,-900.000000;1825.000000,-350.000000,-900.000000;1825.000000,-117.000000,-900.000000;2000.000000,-117.000000,-900.000000
portal_0094	room_81	room_76	0x00	1792.000000,-350.000000,-900.000000;1617.000000,-350.000000,-900.000000;1617.000000,-117.000000,-900.000000;1792.000000,-117.000000,-900.000000
portal_0095	room_69	room_77	0x00	1383.000000,-602.000000,-3324.000000;1383.000000,-602.000000,-3532.000000;1383.000000,-368.000000,-3532.000000;1383.000000,-368.000000,-3324.000000
portal_0096	room_77	room_78	0x00	1825.000000,-525.000000,-3532.000000;1617.000000,-525.000000,-3324.000000;1617.000000,-292.000000,-3324.000000;1825.000000,-292.000000,-3532.000000
portal_0097	room_78	room_79	0x00	1799.000000,-525.000000,-2664.000000;1643.000000,-525.000000,-2664.000000;1643.000000,-292.000000,-2664.000000;1799.000000,-292.000000,-2664.000000
portal_0098	room_79	room_80	0x00	1825.000000,-525.000000,-2242.000000;1617.000000,-525.000000,-2242.000000;1617.000000,-292.000000,-2242.000000;1825.000000,-292.000000,-2242.000000
portal_0099	room_82	room_81	0x00	1617.000000,-117.000000,-500.000000;1792.000000,-117.000000,-500.000000;1792.000000,-350.000000,-500.000000;1617.000000,-350.000000,-500.000000
portal_0100	room_83	room_82	0x00	1600.000000,-350.000000,-500.000000;1600.000000,-350.000000,-300.000000;1600.000000,-117.000000,-300.000000;1600.000000,-117.000000,-500.000000
portal_0101	room_84	room_83	0x00	217.000000,-50.000000,-1250.000000;217.000000,-50.000000,2500.000000;217.000000,-716.000000,2500.000000;217.000000,-716.000000,-1250.000000
portal_0102	room_71	room_83	0x00	1383.000000,-716.000000,-1250.000000;1383.000000,-50.000000,-1250.000000;217.000000,-50.000000,-1250.000000;217.000000,-716.000000,-1250.000000
portal_0103	room_85	room_84	0x00	17.000000,-716.000000,-1250.000000;17.000000,-50.000000,-1250.000000;-1150.000000,-50.000000,-1250.000000;-1150.000000,-716.000000,-1250.000000
portal_0104	room_126	room_84	0x00	-1350.000000,-667.000000,-275.000000;-1350.000000,-667.000000,-525.000000;-1350.000000,-417.000000,-525.000000;-1350.000000,-417.000000,-275.000000
portal_0105	room_138	room_84	0x00	-1350.000000,-292.000000,425.000000;-1350.000000,-542.000000,425.000000;-1350.000000,-542.000000,175.000000;-1350.000000,-292.000000,175.000000
portal_0106	room_88	room_85	0x00	-1297.000000,-667.000000,-4259.000000;-1297.000000,-667.000000,-4408.000000;-1297.000000,-433.000000,-4408.000000;-1297.000000,-433.000000,-4259.000000
portal_0107	room_89	room_85	0x00	-1297.000000,-667.000000,-2289.000000;-1297.000000,-667.000000,-2438.000000;-1297.000000,-433.000000,-2438.000000;-1297.000000,-433.000000,-2289.000000
portal_0108	room_86	room_85	0x00	17.000000,1854.000000,-1467.000000;17.000000,233.000000,-1467.000000;-1705.000000,233.000000,-1467.000000;-1705.000000,1854.000000,-1467.000000
portal_0109	room_87	room_85	0x00	-1705.000000,1854.000000,-1467.000000;-1705.000000,233.000000,-1467.000000;-1705.000000,233.000000,-3618.000000;-1705.000000,1854.000000,-3618.000000
portal_0110	room_89	room_88	0x00	-2185.000000,-667.000000,-3326.000000;-2185.000000,-433.000000,-3326.000000;-1853.000000,-433.000000,-3326.000000;-1853.000000,-667.000000,-3326.000000
portal_0111	room_90	room_89	0x00	-2249.000000,-667.000000,-3300.000000;-2249.000000,-200.000000,-3296.000000;-2249.000000,-200.000000,-2030.000000;-2249.000000,-394.000000,-1996.000000;-2249.000000,-667.000000,-1996.000000
portal_0112	room_94	room_91	0x00	-4200.000000,-417.000000,-4725.000000;-4200.000000,-667.000000,-4725.000000;-3950.000000,-667.000000,-4725.000000;-3950.000000,-417.000000,-4725.000000
portal_0113	room_92	room_91	0x00	-3950.000000,-417.000000,-5275.000000;-3950.000000,-667.000000,-5275.000000;-4200.000000,-667.000000,-5275.000000;-4200.000000,-417.000000,-5275.000000
portal_0114	room_93	room_92	0x00	-4350.000000,-792.000000,-5700.000000;-4350.000000,-792.000000,-5900.000000;-4350.000000,-575.000000,-5900.000000;-4350.000000,-575.000000,-5700.000000
portal_0115	room_95	room_94	0x00	-4200.000000,-417.000000,-4225.000000;-4200.000000,-667.000000,-4225.000000;-3950.000000,-667.000000,-4225.000000;-3950.000000,-417.000000,-4225.000000
portal_0116	room_96	room_95	0x00	-3900.000000,-667.000000,-3850.000000;-3900.000000,-667.000000,-3650.000000;-3900.000000,-450.000000,-3650.000000;-3900.000000,-450.000000,-3850.000000
portal_0117	room_98	room_95	0x00	-4600.000000,-450.000000,-4025.000000;-4600.000000,-450.000000,-3825.000000;-4600.000000,-667.000000,-3825.000000;-4600.000000,-667.000000,-4025.000000
portal_0118	room_97	room_96	0x00	-3350.000000,-667.000000,-3875.000000;-3250.000000,-667.000000,-3625.000000;-3250.000000,-417.000000,-3625.000000;-3350.000000,-417.000000,-3875.000000
portal_0119	room_109	room_97	0x00	-3000.000000,-417.000000,-3875.000000;-3000.000000,-667.000000,-3875.000000;-3250.000000,-667.000000,-3875.000000;-3250.000000,-417.000000,-3875.000000
portal_0120	room_99	room_98	0x00	-4950.000000,-667.000000,-4225.000000;-5050.000000,-667.000000,-4225.000000;-5050.000000,-292.000000,-4225.000000;-4950.000000,-292.000000,-4225.000000
portal_0121	room_100	room_98	0x00	-4650.000000,-667.000000,-4225.000000;-4700.000000,-667.000000,-4225.000000;-4700.000000,-292.000000,-4225.000000;-4650.000000,-292.000000,-4225.000000
portal_0122	room_104	room_98	0x00	-5150.000000,-325.000000,-4125.000000;-5150.000000,-667.000000,-4125.000000;-5150.000000,-667.000000,-3625.000000;-5150.000000,-325.000000,-3625.000000
portal_0123	room_100	room_99	0x00	-4950.000000,-667.000000,-4342.000000;-4950.000000,-292.000000,-4342.000000;-5001.000000,-292.000000,-4475.000000;-5001.000000,-667.000000,-4475.000000
portal_0124	room_104	room_99	0x00	-5250.000000,-292.000000,-4225.000000;-5150.000000,-292.000000,-4225.000000;-5150.000000,-667.000000,-4225.000000;-5250.000000,-667.000000,-4225.000000
portal_0125	room_102	room_99	0x00	-5250.000000,-292.000000,-4475.000000;-5250.000000,-667.000000,-4475.000000;-5250.000000,-667.000000,-4608.000000;-5250.000000,-292.000000,-4608.000000
portal_0126	room_103	room_99	0x00	-5250.000000,-667.000000,-4725.000000;-5150.000000,-667.000000,-4725.000000;-5150.000000,-292.000000,-4725.000000;-5250.000000,-292.000000,-4725.000000
portal_0127	room_107	room_99	0x00	-5150.000000,-667.000000,-4325.000000;-5150.000000,-667.000000,-4425.000000;-5250.000000,-667.000000,-4425.000000;-5250.000000,-667.000000,-4325.000000
portal_0128	room_101	room_99	0x00	-5001.000000,-292.000000,-4725.000000;-5050.000000,-292.000000,-4725.000000;-5050.000000,-667.000000,-4725.000000;-5001.000000,-667.000000,-4725.000000
portal_0129	room_100	room_101	0x00	-4751.000000,-667.000000,-4725.000000;-4792.000000,-667.000000,-4825.000000;-4792.000000,-292.000000,-4825.000000;-4751.000000,-292.000000,-4725.000000
portal_0130	room_103	room_102	0x00	-5650.000000,-292.000000,-4725.000000;-5650.000000,-667.000000,-4725.000000;-5500.000000,-667.000000,-4725.000000;-5500.000000,-292.000000,-4725.000000
portal_0131	room_104	room_102	0x00	-5650.000000,-292.000000,-4225.000000;-5650.000000,-667.000000,-4225.000000;-5500.000000,-667.000000,-4225.000000;-5500.000000,-292.000000,-4225.000000
portal_0132	room_105	room_104	0x00	-5650.000000,-325.000000,-4125.000000;-5650.000000,-325.000000,-3625.000000;-5650.000000,-667.000000,-3625.000000;-5650.000000,-667.000000,-4125.000000
portal_0133	room_106	room_104	0x00	-5550.000000,-450.000000,-3575.000000;-5250.000000,-450.000000,-3575.000000;-5250.000000,-667.000000,-3575.000000;-5550.000000,-667.000000,-3575.000000
portal_0134	room_108	room_104	0x00	-5450.000000,-667.000000,-3925.000000;-5350.000000,-667.000000,-3925.000000;-5350.000000,-667.000000,-4025.000000;-5400.000000,-667.000000,-4025.000000
portal_0135	room_114	room_106	0x00	-5250.000000,-450.000000,-2975.000000;-5250.000000,-667.000000,-2975.000000;-5550.000000,-667.000000,-2975.000000;-5550.000000,-450.000000,-2975.000000
portal_0136	room_88	room_109	0x00	-2938.000000,-433.000000,-4259.000000;-2938.000000,-667.000000,-4259.000000;-2938.000000,-667.000000,-4111.000000;-2938.000000,-433.000000,-4111.000000
portal_0137	room_111	room_110	0x00	-4000.000000,-450.000000,-2300.000000;-4000.000000,-667.000000,-2300.000000;-4000.000000,-667.000000,-2100.000000;-4000.000000,-450.000000,-2100.000000
portal_0138	room_112	room_111	0x00	-3350.000000,-417.000000,-2325.000000;-3350.000000,-667.000000,-2325.000000;-3350.000000,-667.000000,-2075.000000;-3350.000000,-417.000000,-2075.000000
portal_0139	room_123	room_112	0x00	-2750.000000,-417.000000,-2325.000000;-2750.000000,-667.000000,-2325.000000;-2750.000000,-667.000000,-2075.000000;-2750.000000,-417.000000,-2075.000000
portal_0140	room_113	room_112	0x00	-3225.000000,-667.000000,-2375.000000;-3025.000000,-667.000000,-2375.000000;-3025.000000,-450.000000,-2375.000000;-3225.000000,-450.000000,-2375.000000
portal_0141	room_90	room_113	0x00	-2938.000000,-433.000000,-2586.000000;-2938.000000,-667.000000,-2586.000000;-2938.000000,-667.000000,-2438.000000;-2938.000000,-433.000000,-2438.000000
portal_0142	room_97	room_113	0x00	-3000.000000,-417.000000,-3025.000000;-3250.000000,-417.000000,-3025.000000;-3250.000000,-667.000000,-3025.000000;-3000.000000,-667.000000,-3025.000000
portal_0143	room_116	room_114	0x00	-5650.000000,-292.000000,-2325.000000;-5150.000000,-292.000000,-2325.000000;-5150.000000,-667.000000,-2325.000000;-5650.000000,-667.000000,-2325.000000
portal_0144	room_115	room_114	0x00	-5050.000000,-667.000000,-2625.000000;-5050.000000,-667.000000,-2725.000000;-5050.000000,-767.000000,-2725.000000;-5050.000000,-767.000000,-2625.000000
portal_0145	room_122	room_114	0x00	-5150.000000,-792.000000,-2725.000000;-5260.000000,-792.000000,-2725.000000;-5260.000000,-792.000000,-2625.000000;-5150.000000,-792.000000,-2625.000000
portal_0146	room_114	room_115	0x00	-5050.000000,-667.000000,-2425.000000;-5050.000000,-325.000000,-2425.000000;-5050.000000,-325.000000,-2925.000000;-5050.000000,-667.000000,-2925.000000
portal_0147	room_117	room_115	0x00	-4550.000000,-417.000000,-2325.000000;-4550.000000,-667.000000,-2325.000000;-5050.000000,-667.000000,-2325.000000;-5050.000000,-417.000000,-2325.000000
portal_0148	room_118	room_115	0x00	-4450.000000,-325.000000,-2425.000000;-4450.000000,-325.000000,-2925.000000;-4450.000000,-667.000000,-2925.000000;-4450.000000,-667.000000,-2425.000000
portal_0149	room_119	room_115	0x00	-4550.000000,-667.000000,-3225.000000;-5050.000000,-667.000000,-3225.000000;-5050.000000,-417.000000,-2925.000000;-4550.000000,-417.000000,-2925.000000
portal_0150	room_117	room_116	0x00	-5150.000000,-417.000000,-2325.000000;-5150.000000,-667.000000,-2325.000000;-5150.000000,-667.000000,-1825.000000;-5150.000000,-417.000000,-1825.000000
portal_0151	room_117	room_116	0x00	-5150.000000,-667.000000,-2225.000000;-5150.000000,-792.000000,-2225.000000;-5150.000000,-792.000000,-2025.000000;-5150.000000,-667.000000,-2025.000000
