waygroup_id	step	waypoints	neighbours
waygroup_0029	0	waypoint_0154;waypoint_0155;waypoint_0156;waypoint_0157	waygroup_0028;waygroup_0033;waygroup_0030
waygroup_0030	0	waypoint_0158	waygroup_0029;waygroup_0031
waygroup_0031	0	waypoint_0159;waypoint_0160	waygroup_0030;waygroup_0032
waygroup_0032	0	waypoint_0161	waygroup_0031
waygroup_0033	0	waypoint_0162;waypoint_0163;waypoint_0164;waypoint_0165;waypoint_0166;waypoint_0167;waypoint_0168;waypoint_0169;waypoint_0170;waypoint_0171;waypoint_0172;waypoint_0173;waypoint_0174	waygroup_0029;waygroup_0036
waygroup_0034	0	waypoint_0175;waypoint_0176	waygroup_0022;waygroup_0009
waygroup_0035	0	waypoint_0177;waypoint_0178;waypoint_0179;waypoint_0180;waypoint_0181;waypoint_0182;waypoint_0183;waypoint_0184;waypoint_0185;waypoint_0186	waygroup_0025;waygroup_0039;waygroup_0040;waygroup_0009
waygroup_0036	0	waypoint_0187;waypoint_0188	waygroup_0033;waygroup_0027
waygroup_0037	0	waypoint_0189;waypoint_0190;waypoint_0191	waygroup_0028;waygroup_0039;waygroup_0038
waygroup_0038	0	waypoint_0192;waypoint_0193;waypoint_0194	waygroup_0037;waygroup_0039;waygroup_0028
waygroup_0039	0	waypoint_0195;waypoint_0196;waypoint_0197;waypoint_0198;waypoint_0199;waypoint_0200;waypoint_0201;waypoint_0202	waygroup_0038;waygroup_0040;waygroup_0037;waygroup_0035
waygroup_0040	0	waypoint_0203;waypoint_0204;waypoint_0205;waypoint_0206;waypoint_0207;waypoint_0208;waypoint_0209	waygroup_0039;waygroup_0041;waygroup_0035
waygroup_0041	0	waypoint_0210;waypoint_0211;waypoint_0212	waygroup_0040;waygroup_0008
waygroup_0042	0	waypoint_0213	waygroup_0026;waygroup_0027
